,playlist_name,track_name,track_artists,popularity,track_number,duration_ms
87,NEO Sound: Music of Northeast Ohio,Little Boy Blue,"['Robert Lockwood, Jr.']",16,21,186093
88,NEO Sound: Music of Northeast Ohio,I Know What Boys Like,['The Waitresses'],40,2,193000
89,NEO Sound: Music of Northeast Ohio,Head Like A Hole,['Nine Inch Nails'],59,1,299640
90,NEO Sound: Music of Northeast Ohio,Love Train,"[""The O'Jays""]",69,10,178400
91,NEO Sound: Music of Northeast Ohio,Modern Dance,['Pere Ubu'],33,2,208936
92,NEO Sound: Music of Northeast Ohio,Back on the Chain Gang - 2007 Remaster,['Pretenders'],63,2,231120
93,NEO Sound: Music of Northeast Ohio,Day 'N' Nite (nightmare),['Kid Cudi'],74,7,221266
94,NEO Sound: Music of Northeast Ohio,Street Where Nobody Lives,['The Pagans'],9,1,97386
95,NEO Sound: Music of Northeast Ohio,Go All The Way,['Raspberries'],64,1,205346
96,Rock Hall New Music Favorites,Scarlet,"['The Rolling Stones', 'Jimmy Page']",65,1,224293
97,Rock Hall New Music Favorites,Do What You Can - Single Edit,['Bon Jovi'],60,1,231400
98,Rock Hall New Music Favorites,Jeepster,['Joan Jett & The Blackhearts'],38,1,237346
99,Rock Hall New Music Favorites,Beautiful Night,"['Paul McCartney', 'Jeff Lynne', 'Ringo Starr', 'Linda McCartney']",40,1,308920
100,Rock Hall New Music Favorites,Hate for Sale,['Pretenders'],42,1,150466
101,Rock Hall New Music Favorites,What's Love Got to Do with It,"['Kygo', 'Tina Turner']",83,1,208156
102,Rock Hall New Music Favorites,American Reckoning,['Bon Jovi'],58,1,281960
103,Rock Hall New Music Favorites,Nothing at All,['Deep Purple'],39,1,282866
104,Rock Hall New Music Favorites,Criss Cross,['The Rolling Stones'],62,1,272293
105,Rock Hall New Music Favorites,State Of The Union (STFU),['Public Enemy'],36,2,178091
106,Rock Hall New Music Favorites,Homegrown,['Neil Young'],55,5,167918
107,Rock Hall New Music Favorites,Love Is A Rose,['Neil Young'],51,4,137237
108,Rock Hall New Music Favorites,Little Wing,['Neil Young'],49,11,132022
109,Rock Hall New Music Favorites,Never Gonna Break My Faith (feat. The Boys Choir of Harlem),"['Aretha Franklin', 'The Boys Choir Of Harlem']",53,1,250107
110,Rock Hall New Music Favorites,Money - Early Mix,['Pink Floyd'],50,1,379066
111,Rock Hall New Music Favorites,Learn To Fly,"['Surfaces', 'Elton John']",76,1,209832
112,Rock Hall New Music Favorites,Sine From Above (with Elton John),"['Lady Gaga', 'Elton John']",74,14,244880
113,Rock Hall New Music Favorites,Bad Moon Rising - Fogerty's Factory Version,['John Fogerty'],26,5,147133
114,Rock Hall New Music Favorites,Where Do The Children Play?,['Yusuf / Cat Stevens'],45,1,249066
115,Rock Hall New Music Favorites,Don't Give Up,['Alice Cooper'],37,1,180863
116,Rock Hall New Music Favorites,False Prophet,['Bob Dylan'],48,1,360013
117,Rock Hall New Music Favorites,Blues Comin' On,"['Dion', 'Joe Bonamassa']",39,1,288071
118,Rock Hall New Music Favorites,Living In A Ghost Town,['The Rolling Stones'],68,1,247010
119,Rock Hall New Music Favorites,You Can't Hurt a Fool,['Pretenders'],43,1,199146
120,Rock Hall New Music Favorites,Cosmic Dancer,['Nick Cave'],49,1,354093
121,Rock Hall New Music Favorites,Too Much Change - Edit,['Moby'],28,1,196666
122,Rock Hall New Music Favorites,Hymn To Him,"['Dion', 'Patti Scialfa', 'Bruce Springsteen']",38,1,270265
123,Rock Hall New Music Favorites,Dance Of The Clairvoyants,['Pearl Jam'],61,1,265306
124,Rock Hall New Music Favorites,Ordinary Man (feat. Elton John),"['Ozzy Osbourne', 'Elton John']",63,1,301730
125,Rock Hall New Music Favorites,Your New Normal,['Nine Inch Nails'],29,10,225034
126,Rock Hall New Music Favorites,Limitless,['Bon Jovi'],57,1,221946
127,Rock Hall New Music Favorites,Meet Me on the Roof,['Green Day'],55,4,159607
128,Rock Hall New Music Favorites,Murder Most Foul,['Bob Dylan'],45,1,1014786
129,Rock Hall New Music Favorites,I Contain Multitudes,['Bob Dylan'],46,1,276600
130,Rock Hall New Music Favorites,Deep Days,['EOB'],38,3,299346
131,Rock Hall New Music Favorites,FEELIN' ALRIGHT,"['Dave Mason', 'The Quarantines']",18,1,264937
132,Rock & Roll Hall of Fame Singles,Louie Louie,['The Kingsmen'],68,1,165381
133,Rock & Roll Hall of Fame Singles,The Twist,['Chubby Checker'],57,2,153760
134,Rock & Roll Hall of Fame Singles,Born To Be Wild - Single Version,['Steppenwolf'],68,5,212893
135,Rock & Roll Hall of Fame Singles,Rocket 88 - Single Version,['Jackie Brenston & His Delta Cats'],28,1,169720
136,Rock & Roll Hall of Fame Singles,Twist And Shout,['The Isley Brothers'],58,1,155400
137,Rock & Roll Hall of Fame Singles,Gloria,['The Shadows Of Knight'],38,1,157333
138,Rock & Roll Hall of Fame Singles,Maybe,['The Chantels'],46,3,174133
139,Rock & Roll Hall of Fame Singles,Money (That's What I Want) - Single Version / Mono,['Barrett Strong'],48,1,157946
140,Rock & Roll Hall of Fame Singles,Rumble,['Link Wray & His Ray Men'],50,3,145706
141,Rock & Roll Hall of Fame Singles,A Whiter Shade of Pale - Original Single Version,['Procol Harum'],69,1,248946
142,Rock & Roll Hall of Fame Singles,Tequila,['The Champs'],60,1,135240
143,Rock & Roll Hall of Fame Singles,Leader Of The Pack,['The Shangri-Las'],49,1,173533
144,Your Rock Hall Mindfulness Mix,Let It Be - Remastered 2009,['The Beatles'],78,6,243026
145,Your Rock Hall Mindfulness Mix,Peace Train,['Yusuf / Cat Stevens'],67,10,251333
146,Your Rock Hall Mindfulness Mix,You've Got a Friend,['Carole King'],68,7,308973
147,Your Rock Hall Mindfulness Mix,America,['Simon & Garfunkel'],66,3,215293
148,Your Rock Hall Mindfulness Mix,Never Going Back Again - 2004 Remaster,['Fleetwood Mac'],68,3,134400
149,Your Rock Hall Mindfulness Mix,In Your Eyes - 2012 Remaster,['Peter Gabriel'],55,9,330373
150,Your Rock Hall Mindfulness Mix,What A Wonderful World - Single Version,['Louis Armstrong'],67,1,139226
151,Your Rock Hall Mindfulness Mix,Bridge over Troubled Water,['Aretha Franklin'],46,43,331360
152,Your Rock Hall Mindfulness Mix,(What A) Wonderful World,['Sam Cooke'],72,21,125440
153,Your Rock Hall Mindfulness Mix,Imagine - 2010 Mix,['John Lennon'],77,1,187866
154,Your Rock Hall Mindfulness Mix,Three Little Birds,['Bob Marley & The Wailers'],79,9,180266
155,Your Rock Hall Mindfulness Mix,"Do Right Woman, Do Right Man",['Etta James'],26,9,179893
156,Your Rock Hall Mindfulness Mix,Don't Give Up - 2012 Remaster,['Peter Gabriel'],46,3,393586
157,Your Rock Hall Mindfulness Mix,The Way I Feel Inside,['The Zombies'],50,4,108573
158,Your Rock Hall Mindfulness Mix,Seven Wonders - 2017 Remaster,['Fleetwood Mac'],65,2,222400
159,Your Rock Hall Mindfulness Mix,Yesterday - Remastered 2009,['The Beatles'],77,13,125666
160,Your Rock Hall Mindfulness Mix,Still Water (Love),['Four Tops'],44,1,194693
161,Your Rock Hall Mindfulness Mix,Missing You,['Tina Turner'],32,4,279040
162,Your Rock Hall Mindfulness Mix,Drive - 2017 Remaster,['The Cars'],68,4,234332
163,Your Rock Hall Mindfulness Mix,Lean on Me,['Bill Withers'],71,5,258834
164,Your Rock Hall Mindfulness Mix,Carolina in My Mind,['James Taylor'],68,2,238573
165,Your Rock Hall Mindfulness Mix,Wildflowers,['Tom Petty'],70,1,190320
166,Your Rock Hall Mindfulness Mix,Here Comes The Sunrise,['The Supremes'],5,3,166893
167,Your Rock Hall Mindfulness Mix,Stardust,['Nat King Cole'],56,10,194040
168,Your Rock Hall Mindfulness Mix,A Case of You,['Joni Mitchell'],68,9,263480
169,Your Rock Hall Mindfulness Mix,Don't Give Up On Me,['Solomon Burke'],52,1,225533
170,Your Rock Hall Mindfulness Mix,I Want a Little Sugar In My Bowl,['Nina Simone'],52,7,152106
171,Your Rock Hall Mindfulness Mix,Catch the Wind,['Donovan'],43,13,173813
172,Your Rock Hall Mindfulness Mix,Beautiful Day,['U2'],64,1,246400
173,Your Rock Hall Mindfulness Mix,Listen to the Music,['The Doobie Brothers'],77,1,227266
174,Your Rock Hall Mindfulness Mix,All You Need Is Love - Remastered 2009,['The Beatles'],67,11,230386
175,Your Rock Hall Mindfulness Mix,Waitin' On A Sunny Day,['Bruce Springsteen'],60,3,256133
176,Your Rock Hall Mindfulness Mix,Shanti / Ashtangi,['Madonna'],41,8,268666
177,Your Rock Hall Mindfulness Mix,People Get Ready,['The Impressions'],60,7,163360
178,Your Rock Hall Mindfulness Mix,Peaceful Easy Feeling - 2013 Remaster,['Eagles'],67,9,257962
179,Your Rock Hall Mindfulness Mix,I Shall Be Released - Remastered,['The Band'],53,11,192104
180,Your Rock Hall Mindfulness Mix,And So It Goes,['Billy Joel'],24,9,217866
181,Your Rock Hall Mindfulness Mix,Angel from Montgomery - 2008 Remaster,['Bonnie Raitt'],61,3,239240
182,Your Rock Hall Mindfulness Mix,Tupelo Honey,['Van Morrison'],63,13,415040
183,Your Rock Hall Mindfulness Mix,My Love Is Your Love,['Whitney Houston'],68,3,261573
184,Your Rock Hall Mindfulness Mix,Talk to Me,['Stevie Nicks'],44,7,250026
185,Your Rock Hall Mindfulness Mix,That's The Way Love Goes,['Janet Jackson'],65,2,265106
186,Your Rock Hall Mindfulness Mix,Colours,['Donovan'],36,1,165986
187,Your Rock Hall Mindfulness Mix,Lovely Day,['Bill Withers'],75,1,254560
188,Your Rock Hall Mindfulness Mix,Isaac,['Madonna'],45,10,359240
189,Your Rock Hall Mindfulness Mix,That's The Way I Feel About 'Cha,['Bobby Womack'],38,7,310226
190,Your Rock Hall Mindfulness Mix,Hold On My Heart - 2007 Digital Remaster,['Genesis'],56,9,278000
191,Your Rock Hall Mindfulness Mix,Here Comes The Sun - Remastered 2009,['The Beatles'],83,7,185733
192,Your Rock Hall Mindfulness Mix,Bridge Over Troubled Water,['Simon & Garfunkel'],72,1,293120
193,Your Rock Hall Mindfulness Mix,Georgia on My Mind,['Ray Charles'],41,6,372626
194,Your Rock Hall Mindfulness Mix,April Come She Will,['Simon & Garfunkel'],61,9,109386
195,Your Rock Hall Mindfulness Mix,All I've Got To Do - Remastered 2009,['The Beatles'],58,2,122573
196,Your Rock Hall Mindfulness Mix,All Things Must Pass - 2014 Mix,['George Harrison'],59,5,226866
197,Your Rock Hall Mindfulness Mix,Fanny (Be Tender With My Love),['Bee Gees'],51,5,243560
198,Your Rock Hall Mindfulness Mix,Into the Fire,['Bruce Springsteen'],37,2,301666
199,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Lovely Day,['Bill Withers'],75,1,254560
200,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Rock Steady,['Aretha Franklin'],56,3,193573
201,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,I Wanna Dance with Somebody (Who Loves Me),['Whitney Houston'],82,1,291293
202,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,You Make My Dreams (Come True),['Daryl Hall & John Oates'],78,8,190626
203,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Only the Good Die Young,['Billy Joel'],67,6,235560
204,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,My Best Friend's Girl,['The Cars'],64,2,223253
205,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,My Old School,['Steely Dan'],56,6,344906
206,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,When I Think Of You,['Janet Jackson'],51,6,235493
207,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Don't Stop Me Now - 2011 Mix,['Queen'],74,12,209413
208,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,M'Lady,['Sly & The Family Stone'],26,10,166106
209,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Body Movin' - Fatboy Slim Remix / Remastered 2005,"['Beastie Boys', 'Fatboy Slim']",47,12,248506
210,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Ride On,['Parliament'],27,2,213786
211,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Everybody - Original Version,['Madonna'],38,8,362386
212,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,It's Your Thing,['The Isley Brothers'],61,6,169293
213,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Doctor My Eyes,['Jackson Browne'],69,4,199906
214,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Rosalita (Come Out Tonight),['Bruce Springsteen'],54,6,420840
215,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,"Reach Out, I'll Be There",['Four Tops'],0,1,182066
216,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Good Vibrations - Remastered,['The Beach Boys'],73,6,219026
217,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Partyman,['Prince'],53,4,191560
218,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Brown Eyed Girl,['Van Morrison'],81,1,183306
219,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Uptown Girl,['Billy Joel'],68,3,194866
220,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Soul Man - 45 Version,['Sam & Dave'],43,1,156627
221,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,You Wreck Me,['Tom Petty'],59,4,202893
222,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Sherry,['Frankie Valli & The Four Seasons'],63,12,152160
223,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Love Train,"[""The O'Jays""]",69,10,178400
224,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Could You Be Loved,['Bob Marley & The Wailers'],78,8,237000
225,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,I Want You Back,['The Jackson 5'],76,3,176333
226,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,"A Fine, Fine Boy",['Darlene Love'],8,5,165720
227,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Land of 1000 Dances,['Wilson Pickett'],62,1,146973
228,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Don't Stop Believin',['Journey'],75,2,248906
229,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,You Can't Hurry Love,['The Supremes'],74,15,167933
230,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Be My Baby,['The Ronettes'],71,2,160906
231,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Billie Jean,['Michael Jackson'],82,6,293826
232,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Ain't No Mountain High Enough - Stereo Version,"['Marvin Gaye', 'Tammi Terrell']",1,10,146160
233,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Mr. Blue Sky,['Electric Light Orchestra'],0,13,303373
234,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,September,"['Earth, Wind & Fire']",5,1,214826
235,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,(Love Is Like A) Heat Wave,['Martha Reeves & The Vandellas'],62,1,163053
236,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Saturday in the Park - 2002 Remaster,['Chicago'],65,7,235666
237,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Dancing Queen,['ABBA'],2,2,230400
238,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,You Give Love A Bad Name,['Bon Jovi'],80,2,222706
239,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,I Love Rock 'N Roll,['Joan Jett & The Blackhearts'],73,1,175173
240,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Ain't Too Proud To Beg,['The Temptations'],67,3,156173
241,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,You Shook Me All Night Long,['AC/DC'],70,2,210880
242,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Get Up Offa That Thing,['James Brown'],0,10,251066
243,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,['Bee Gees'],0,1,285373
244,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Friday I'm In Love,['The Cure'],0,14,215293
245,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,California Love - Original Mix,"['2Pac', 'Roger', 'Dr. Dre']",0,2,284426
246,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Brass in Pocket,['Pretenders'],40,3,185666
247,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Stop Draggin' My Heart Around (with Tom Petty & The Heartbreakers),"['Stevie Nicks', 'Tom Petty and the Heartbreakers']",0,3,242760
248,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Out of Touch - Remastered,['Daryl Hall & John Oates'],58,16,249573
249,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Blue Sky,['The Allman Brothers Band'],64,8,311703
250,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,This Old Heart Of Mine (Is Weak For You),['The Isley Brothers'],65,3,172733
251,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,I Heard It Through The Grapevine,['Marvin Gaye'],72,4,194293
252,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Just like Heaven,['The Cure'],66,8,212000
253,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Peg,['Steely Dan'],60,4,240293
254,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,I'm Still Standing,['Elton John'],80,2,183440
255,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Rumpofsteelskin,['Parliament'],28,2,337026
256,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,The Best - Edit,['Tina Turner'],70,1,253592
257,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,I'll Feel a Whole Lot Better,['The Byrds'],41,2,151706
258,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,N.S.U.,['Cream'],38,2,163173
259,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,The Who Who Song (Nobody But My Sweet Baby),['Jackie Wilson'],40,11,171853
260,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,It's A Good Feeling,['Smokey Robinson & The Miracles'],14,9,190866
261,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Little Darling (I Need You),['Marvin Gaye'],32,2,155026
262,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,"Living in America - From ""Rocky IV"" Soundtrack",['James Brown'],54,6,282840
263,Your Rock Hall Feel-Good (Much Needed) Distraction Mix,Something To Talk About,['Bonnie Raitt'],61,1,227573
